id,name,age,gender,height,weight,nationality,medals,games,biography,price,focus,sport,category
,,,,,,United States of America,2 G 2 S 1 B,4,,,Tennis,Team
,,,,,,New Zealand,,6,,,Hockey,Team
,,,,,,Spain,,1,,,Sailing,Team
,,,,,,Cuba,,1,,,Canoe Sprint,Team
,,,,,,Brazil,,6,,,Synchronized Swimming,Team
,,,,,,Argentina,,1,,,Equestrian Jumping,Team
,,,,,,France,1 S 2 B,14,,,Swimming,Team
,,,,,,France,1 G 2 B,11,,,Water Polo,Team
,,,,,,Great Britain,2 G 1 S,10,,,Rowing,Team
,,,,,,Serbia,1 S,1,,,Canoe Sprint,Team
,,,,,,Netherlands,,1,,,Sailing,Team
,,,,,,France,1 S,1,,,Swimming,Team
,,,,,,Italy,,1,,,Cycling Track,Team
,,,,,,Great Britain,,1,,,Sailing,Team
,,,,,,Hungary,3 G 2 S 1 B,15,,,Fencing,Team
,,,,,,People's Republic of China,2 S,8,,,Fencing,Team
,,,,,,Ukraine,1 G 1 S,2,,,Fencing,Team
,,,,,,Venezuela,,1,,,Beach Volleyball,Team
,,,,,,People's Republic of China,2 S,6,,,Swimming,Team
,,,,,,Netherlands,,5,,,Rowing,Team
,,,,,,Spain,,2,,,Beach Volleyball,Team
,,,,,,France,2 S 2 B,12,,,Rowing,Team
,,,,,,Qatar,,1,,,Beach Volleyball,Team
,,,,,,Russian Federation,1 S,1,,,Archery,Team
,,,,,,People's Republic of China,2 G 1 S 1 B,7,,,Badminton,Team
,,,,,,Germany,2 S 1 B,7,,,Swimming,Team
,,,,,,Brazil,3 G 3 S,14,,,Volleyball,Team
,,,,,,Fiji,,1,,,Football,Team
,,,,,,Great Britain,,6,,,Badminton,Team
,,,,,,Germany,2 G 1 S 4 B,13,,,Hockey,Team
,,,,,,Egypt,,3,,,Synchronized Swimming,Team
,,,,,,Great Britain,1 G 1 S,2,,,Equestrian Dressage,Team
,,,,,,United States of America,3 G 3 S 3 B,17,,,Gymnastics Artistic,Team
,,,,,,Cuba,1 S,3,,,Athletics,Team
,,,,,,Czech Republic,,1,,,Canoe Slalom,Team
,,,,,,Italy,,1,,,Sailing,Team
,,,,,,Russian Federation,1 G 1 S 2 B,6,,,Volleyball,Team
,,,,,,Brazil,,1,,,Fencing,Team
,,,,,,Canada,1 S,4,,,Athletics,Team
,,,,,,United States of America,,1,,,Rowing,Team
,,,,,,Germany,1 S,1,,,Canoe Sprint,Team
,,,,,,Japan,,2,,,Sailing,Team
,,,,,,Lithuania,1 B,1,,,Canoe Sprint,Team
,,,,,,France,9 G 3 S 4 B,21,,,Fencing,Team
,,,,,,Canada,,6,,,Tennis,Team
,,,,,,Netherlands,,6,,,Beach Volleyball,Team
,,,,,,France,,1,,,Sailing,Team
,,,,,,Great Britain,5 G 1 S 2 B,17,,,Rowing,Team
,,,,,,Croatia,1 G,6,,,Sailing,Team
,,,,,,France,,1,,,Canoe Sprint,Team
,,,,,,Singapore,,1,,,Sailing,Team
,,,,,,France,1 B,6,,,Synchronized Swimming,Team
,,,,,,People's Republic of China,,7,,,Swimming,Team
,,,,,,Mexico,,2,,,Volleyball,Team
,,,,,,Canada,,1,,,Swimming,Team
,,,,,,Netherlands,2 G 1 B,6,,,Rowing,Team
